event_time,event_time_formatted,code,value,status,event_from,event_id
1766687431898,2025-12-25 13:30:31,liquid_level_percent,56,1,1,7
1766687431885,2025-12-25 13:30:31,liquid_depth,67,1,1,7
1766687431871,2025-12-25 13:30:31,liquid_state,normal,1,1,7
1766687430814,2025-12-25 13:30:30,liquid_depth,65,1,1,7
1766687429669,2025-12-25 13:30:29,liquid_level_percent,54,1,1,7
1766687429655,2025-12-25 13:30:29,liquid_depth,66,1,1,7
1766687429642,2025-12-25 13:30:29,liquid_state,lower_alarm,1,1,7
1766687428591,2025-12-25 13:30:28,liquid_level_percent,56,1,1,7
1766687428577,2025-12-25 13:30:28,liquid_depth,67,1,1,7
1766687428564,2025-12-25 13:30:28,liquid_state,normal,1,1,7
1766687391061,2025-12-25 13:29:51,liquid_depth,65,1,1,7
1766687323704,2025-12-25 13:28:43,liquid_level_percent,54,1,1,7
1766687087368,2025-12-25 13:24:47,liquid_depth,64,1,1,7
1766687005600,2025-12-25 13:23:25,liquid_level_percent,53,1,1,7
1766686782498,2025-12-25 13:19:42,liquid_depth,63,1,1,7
1766686781428,2025-12-25 13:19:41,liquid_depth,62,1,1,7
1766686780357,2025-12-25 13:19:40,liquid_depth,63,1,1,7
1766686779207,2025-12-25 13:19:39,liquid_depth,62,1,1,7
1766686778138,2025-12-25 13:19:38,liquid_depth,63,1,1,7
1766686776987,2025-12-25 13:19:36,liquid_depth,62,1,1,7
1766686775917,2025-12-25 13:19:35,liquid_depth,63,1,1,7
1766686774759,2025-12-25 13:19:34,liquid_depth,62,1,1,7
1766686773690,2025-12-25 13:19:33,liquid_depth,63,1,1,7
1766686772621,2025-12-25 13:19:32,liquid_depth,62,1,1,7
1766686771470,2025-12-25 13:19:31,liquid_depth,63,1,1,7
1766686770399,2025-12-25 13:19:30,liquid_depth,62,1,1,7
1766686769250,2025-12-25 13:19:29,liquid_depth,63,1,1,7
1766686768181,2025-12-25 13:19:28,liquid_depth,62,1,1,7
1766686767031,2025-12-25 13:19:27,liquid_depth,63,1,1,7
1766686765961,2025-12-25 13:19:25,liquid_depth,62,1,1,7
1766686764887,2025-12-25 13:19:24,liquid_depth,63,1,1,7
1766686761518,2025-12-25 13:19:21,liquid_depth,62,1,1,7
1766686760447,2025-12-25 13:19:20,liquid_depth,63,1,1,7
1766686759377,2025-12-25 13:19:19,liquid_depth,62,1,1,7
1766686758222,2025-12-25 13:19:18,liquid_depth,63,1,1,7
1766686757152,2025-12-25 13:19:17,liquid_depth,62,1,1,7
1766686756002,2025-12-25 13:19:16,liquid_depth,63,1,1,7
1766686754932,2025-12-25 13:19:14,liquid_depth,62,1,1,7
1766686753866,2025-12-25 13:19:13,liquid_depth,63,1,1,7
1766686658866,2025-12-25 13:17:38,liquid_level_percent,52,1,1,7
1766686657782,2025-12-25 13:17:37,liquid_level_percent,51,1,1,7
1766686648891,2025-12-25 13:17:28,liquid_level_percent,52,1,1,7
1766686584891,2025-12-25 13:16:24,liquid_level_percent,51,1,1,7
1766686583733,2025-12-25 13:16:23,liquid_level_percent,52,1,1,7
1766686580436,2025-12-25 13:16:20,liquid_level_percent,51,1,1,7
1766686579358,2025-12-25 13:16:19,liquid_level_percent,52,1,1,7
1766686577127,2025-12-25 13:16:17,liquid_level_percent,51,1,1,7
1766686576051,2025-12-25 13:16:16,liquid_level_percent,52,1,1,7
1766686573823,2025-12-25 13:16:13,liquid_level_percent,51,1,1,7
1766686572744,2025-12-25 13:16:12,liquid_level_percent,52,1,1,7
1766686570512,2025-12-25 13:16:10,liquid_level_percent,51,1,1,7
